rank,walletAddress,nickName,volumeUsd,realizedPnlUsd,expectedRewardsAeon,rewardUnit,buyTxCount,sellTxCount,totalTxCount
1,0x58e79a0c44e9bf71152bd2e51fea4c88b8a05097,0x番尼,378653.721721821538595492,-1573.376278178461488171,29470,AEON,1441,1442,2883
2,0x8b6e5682a7fbb0a5f1aba814534874440907603d,boost123.lol,238774.112843351779206932,-997.791156648220679056,17300,AEON,646,639,1285
3,0x79146d29b8944b38fe08858a0e9d2b0e91a72d89,X搜索0xXIAOc,129751.967304677843071244,-535.082674189234793815,10175,AEON,,,
4,0x6e7b8f8e11ee3ca3a87999746f75519d64d6ac9a,0xsb,92150.423345699653090550,-380.050954300346933691,6165,AEON,,,
5,0x2959e45d2bd2cbc47b2ce82d6408dcdf205dadcb,boost123.lol大赛榜,91014.180954465707033841,-375.914893134292953117,6165,AEON,616,592,1208
6,0xf3b35b2fe83aae98104f84813d58bb879cec9bc9,boost123.lol,89130.503520807288592735,-371.123058318603008254,6165,AEON,357,353,710
7,0x430afb2228d7d49e492e83ee95b57427b189ca02,0x430a...ca02,88754.272165248970162218,-365.723834751029850780,6165,AEON,223,205,428
8,0xe36680052627070a6f447ff612e178c189654bca,0xe366...4bca,88751.268603128977844131,-365.471396871022156377,6165,AEON,,,
9,0xf9ed4fa913fc7eb609cbe3be72231f976186a59a,w3军团,87523.916277244325586153,-360.786874891554418268,6165,AEON,,,
10,0xf0b4c51a1f642d82198092f280539690ba8cd362,0x爱谁谁,86250.454075400683677214,-354.708602838481506414,6165,AEON,,,
11,0xbb66d8064aa3de57f86bb9a43b9c62cfffc45ab0,0xbb66...5ab0,70451.335407287845386803,-293.401034141597378087,3735,AEON,,,
12,0xac99e45bd72294982dea012375df055b252ae49c,0xac99...e49c,63011.094745454692192941,-261.479386126198802328,3735,AEON,,,
13,0xeef0797dc2b42ffa0d99e3cefafc517a04448908,haina666,53958.190547737374094002,-184.433452262625896643,3735,AEON,,,
14,0x6b6b2a2a2cb83ad068e0cf022c65f36c4dfc725c,0x6b6b...725c,51741.650466018787944437,-212.669533981212127892,3735,AEON,,,
15,0x4ffb382f183f12dbf87bfa8cad826c1c62c1396d,0x4ffb...396d,51738.743891106250867422,-215.156108893749173623,3735,AEON,,,
16,0x3e63fc0b66a2d4f56eac7f31eea794cd822a5bec,0x3e63...5bec,51730.235944513050755007,-219.904055486949307593,3735,AEON,,,
17,0xed76fea1ddf55837bb64bcc266dec64832946278,0xed76...6278,50966.457411588995466089,-212.912136075777054146,3735,AEON,,,
18,0xfe6913ba30bdc15392168d65088918b6b0c1b729,0xfe69...b729,50540.790173468984968189,-209.871826531015034386,3735,AEON,254,252,506
19,0x93f7f903b3d04ddf07f6c6268d0bb209494555a2,0x福利鸭,50540.175314735573545921,-210.937274824463426081,3735,AEON,254,254,508
20,0xe759582b2190c29cd6bf5e4493044ee7ded6efa8,0xe759...efa8,50323.625494553183879351,-247.592164301695848537,3735,AEON,253,254,507
21,0x65b7e943aded5a162022d63eac4b4d10f9dc0ff4,0x65b7...0ff4,50137.895741841159819877,-221.462929897412239014,3735,AEON,,,
22,0x59013e872c5d0cc711c336348d67b644c06499af,0x5901...99af,49830.957451518063651100,-201.321563790373248951,3735,AEON,121,119,240
23,0x12105e56c3d6f080898fa8ec3fbeb6b559bf7473,0x1210...7473,48363.222231036941642557,-199.183178663351823404,3735,AEON,,,
24,0xf9f8f1e2a87b899784485dfeaddab156b2616572,0xf9f8...6572,48352.591106999241982247,-209.130690375260964430,3735,AEON,144,152,296
25,0x424c6c46ed16ae53a094dfb6b77e938957f71e3f,0x424c...1e3f,48279.152172785232876603,-199.845327950700376290,3735,AEON,,,
