rank,walletAddress,nickName,volumeUsd,realizedPnlUsd,expectedRewardUsd,rewardUnit,buyTxCount,sellTxCount,totalTxCount
1,0x125cc5b828041eb0fefa1580be059e7dcbcd5062,www,42511490.307401317870000000,-1255.493427162410192565,1000,USDT,,,
2,0xc7ac513d04157a1d0c8da4dbe1cd307d27f0ad01,ElonMusk,40308643.844783930832985297,-939.047613954335296159,600,USDT,89,88,177
3,0x6ec58cff7f2a62dbc47ba7e70050c307d538c987,0x6ec5...c987,13551086.970680709810000000,-211.511739290190027062,375,USDT,0,0,0
4,0xdb9776450a872939e68f8baa00b4704539e8546e,0xdb97...546e,12073206.504945144620000000,-588.063054855380189530,275,USDT,1,1,2
5,0xf0b2b3b866c6a1870a51abd1ffbb5889cc055e73,0xf0b2...5e73,11035628.206606283730000000,-510.856205672370093802,275,USDT,,,
6,0xbc2d252aef8c27b85ddc44928fb3b30339092e01,0xbc2d...2e01,10743030.339294574240000000,-513.622625425760020898,275,USDT,0,0,0
7,0x12ee3e8853d15de4a7b6b3abab8c6d966e904da6,0x12ee...4da6,10710580.488395615320000000,-463.388904384680022551,275,USDT,0,0,0
8,0x42d63d7b4691da775abaed89b8b7c9145de2edbf,0x42d6...edbf,10409488.210391047430000000,-37.042608952570033507,275,USDT,,,
9,0x72007b2f935582c79d2de40eb1f46e3de822830a,0x7200...830a,10275314.432040799750000000,-525.517491998982844860,275,USDT,,,
10,0x9920223b492774e2b9b92086d7ba1d8627fc4e88,0x9920...4e88,9900740.169379658020000000,-516.422620341980030291,275,USDT,,,
11,0xf8e7ccd7a15841fe4f0b09fa61e02d7018d5d7fd,0xf8e7...d7fd,9883734.605373755900000000,-354.216144707320019031,275,USDT,,,
12,0x25615864ab54c75255f3ab51116e900b174f43d0,0x2561...43d0,9858760.200965310710000000,-433.864733923390054858,275,USDT,,,
13,0x41d8bd35abcb73cb107400cbe29e730088e93f60,0x41d8...3f60,9760499.704577283594524941,10383.210696172274629526,275,USDT,,,
14,0x3e5eee1688c6a2355e1fee7981b38010e77ff869,0x3e5e...f869,9692081.556923593200000000,-498.593076406800019969,275,USDT,,,
15,0x29776965cdd369bdfa982a9768f4fa158a5c6539,0x2977...6539,9449956.272627095490000000,-128.847372904510032351,275,USDT,,,
16,0xc5c136378633ec596fc491f483780584027e96c9,0xc5c1...96c9,9432546.799781465670000000,-286.892218534330016519,275,USDT,,,
17,0xdd906b08969f058549f3bdf860d1932eea2ec43c,0xdd90...c43c,9120749.421202117260000000,-462.294997882740016479,275,USDT,0,0,0
18,0xbe7bc932bedb7e230ba99d11d21db979eaae9df3,0xbe7b...9df3,9071826.374274083230000000,-218.519039702334541425,275,USDT,0,0,0
19,0xcb736fdc412e2a9b20afb1ba9899861e2725f857,0xcb73...f857,8888331.183694847489603077,-225.281505338829797106,275,USDT,0,0,0
20,0x5a69630d8aa64dd2560e4fc33a162a38fd0ef685,0x5a69...f685,8595060.950544873800000000,-15.354975126200034013,275,USDT,,,
21,0xe2fb842f1697c0e270e6e18c2ab3bb0f3f516aaf,0xe2fb...6aaf,8457089.098108411190000000,-408.986121791990024599,195,USDT,,,
22,0x7926ce4caba2bbbfb0ee934dca866960061def19,0x7926...ef19,8426107.722130858170000000,-201.556166254670024990,195,USDT,0,0,0
23,0x35e850baf7d638984f932c3fcad291e77e515c19,0x35e8...5c19,8081915.086606502420000000,-208.130299768040023723,195,USDT,0,0,0
24,0xc1ccc1e8ef11b87473a5163e01322d969ed175e3,0xc1cc...75e3,7962107.499077384340000000,-199.089526513812379533,195,USDT,,,
25,0x94e15194448e1b786c59be3d3cf962f71ab28d3e,theAliens,7414201.202224341840000000,-171.203775658160045828,195,USDT,,,
26,0xc542c89a618e053e20753d4b6af4137602a334e8,0xc542...34e8,6802455.191408595630000000,-168.905319598350090717,195,USDT,,,
27,0x6312929bd0465172df0ab3fc1a226856b872a79c,Pizzzzzzzza,6740744.991672800530000000,-38.864327199470039927,195,USDT,,,
28,0x3c3f06c0da723ddd257d4d5c7c8f2cc73ab38b10,OKXBOOSTVN,6340846.797475605941048845,-124.540306916640986063,195,USDT,,,
29,0xac76a9b104033b79465202a5a0cff090c0f40761,0xac76...0761,5633376.901695174387707388,-376.198452837352328529,195,USDT,,,
30,0x6b33f44f3f1499ed6580a2a1e9da50856d432b04,0x6b33...2b04,5622275.944073112097245399,205.385133340796686812,195,USDT,,,
31,0x63ec12ed2d59c47820deec991cd731e2baed6116,Myne,5474919.985851215240000000,-276.323843066443543288,195,USDT,,,
32,0xa514c421d24b60ea1707e74a9f210a9783bc4463,0xa514...4463,5261824.899445420940000000,-57.588750336562948356,195,USDT,,,
33,0x7d0cd48b7cd16ae64619919fc0e6b8e9de8024b6,0x7d0c...24b6,5195904.047589624749040077,67.397131808202203162,195,USDT,9,6,15
34,0x9b2b88715a042aceb0eb2407ab6c280ec77f02cd,0x9b2b...02cd,5072333.063272747370000000,-90.277134412035096659,195,USDT,0,0,0
35,0x5178eb6e6ab0b6842d3b06d3b93e1a08d1d0db0a,0x5178...db0a,4814380.254516573319959459,-145.890136716816064950,195,USDT,1,1,2
36,0x98467568e654ab5227fd7ca21af5b673e23f94c4,w3palu,4675605.229720006150000000,-172.909465399871822958,195,USDT,0,0,0
37,0x112a3b71b9d747b28b068209aa62b603da20e3ce,0x112a...e3ce,4655115.913289077140000000,-100.686710922860088920,195,USDT,0,0,0
38,0xbb66d8064aa3de57f86bb9a43b9c62cfffc45ab0,0xbb66...5ab0,4504489.554754330940000000,-100.354421152880072204,195,USDT,0,0,0
39,0x7cdd481a37633420754ca0bdd42394aa67b6ddb9,0x7cdd...ddb9,4486947.607228409590000000,-107.977408705970636676,195,USDT,,,
40,0xf9f8f1e2a87b899784485dfeaddab156b2616572,0xf9f8...6572,4434245.049476286430000000,-182.347954976810068865,195,USDT,,,
41,0x7e03f6eb6c55a1968b452dcac082b6f80482bb1a,0x7e03...bb1a,4031286.507339510140000000,-69.203200489860336081,195,USDT,,,
42,0x6e586b9340b74ab11aaff1718ee124bc8ad65fde,0x6e58...5fde,3929991.284017862240000000,-91.550782137760107356,195,USDT,,,
43,0x87db549d9c20b7b3dae2f6e6fac16ac73d658bf7,0x87db...8bf7,3797131.872538363690000000,-163.698354160010540138,195,USDT,,,
44,0xea498ab00acf1cb6ad8333e87296a484e1c4f725,0xea49...f725,3722022.773247540370000000,-76.377540221310035488,195,USDT,,,
45,0x2d15e796252865d382c8bb92ae6e31c62b65fa86,0x2d15...fa86,3302752.032753444630000000,-70.557521408450468497,195,USDT,,,
46,0xfcbf6709464c9a3a5affa870e4b73997fe51af40,0xfcbf...af40,3223586.580415121830000000,-131.943524714310043378,195,USDT,,,
47,0x47037c8e72b4c433f5998f0d392303c5c1387531,0x4703...7531,3154649.092657637420000000,-133.933130978100041431,195,USDT,,,
48,0xfd5bf48c9429798a6ff1d565ca0629ce87df4551,0xfd5b...4551,3153435.840881716640000000,-118.581100470713136950,195,USDT,47,41,88
49,0xe08cb0a6bab526ab66f9e9790fee297774e12619,0xe08c...2619,3108310.421656646100000000,-110.810857902403230995,195,USDT,36,37,73
50,0x4a6f2ff4bf3ac27ae45cd58c280dd7cf7644afa5,0x4a6f...afa5,3077518.729276563770000000,-84.576511836230541531,195,USDT,37,35,72
51,0x9b074e6f0cafb9891c258f6930c8b594e4870609,0x9b07...0609,3066492.953634746010000000,-132.668365253990095095,140,USDT,2,3,5
52,0x46800eb145fa7616a86cb0e7020da8c1e3ec8f7e,0x4680...8f7e,3046664.654417024420000000,-37.171582975580187929,140,USDT,,,
53,0x1649cbfe6ca337d4203c19d583a581cef478aa57,0x1649...aa57,3035849.790881596391243223,-35.007518403608933452,140,USDT,,,
54,0x8d61bd9c8db849c54f44f65d7139d4dd28b02200,0x8d61...2200,3018688.911490106810000000,-60.201325952650067308,140,USDT,0,0,0
55,0x0283189a34ee171082402af11b77034bde641eb6,0x0283...1eb6,2999425.562708420940949030,310.472120400729894747,140,USDT,,,
56,0xa65bff4002d4b2723d255fcf3c666efb52df0b5a,0xa65b...0b5a,2833958.732317767703232292,-71.037357910750029683,140,USDT,,,
57,0xf74001a1a9a635c9974d23531a767fda565dae9e,0xf740...ae9e,2753530.067257286920000000,-50.093503416520034005,140,USDT,,,
58,0x80971d8d22674af66c8f3404024838f8ddec168e,0x8097...168e,2695112.770534391610000000,-40.612089669370935844,140,USDT,,,
59,0x39c405fd32850816c62c6d2050e0a1de2872dbd5,qubitv.net,2645655.664669390390695992,-139.342668249721320496,140,USDT,,,
60,0x0fcaa3ad723e33dc12b1813011ee1e7c1f8c6428,0x0fca...6428,2618657.329340514616562521,86.561960633717247556,140,USDT,,,
61,0xc5c67b113eaf4814624c5eb8109444697bc47c44,0xc5c6...7c44,2572532.391509289430000000,-41.156996641278389112,140,USDT,,,
62,0x0bd7e50ece1a1ee76e96acf17ddc1b53a433eda8,0x0bd7...eda8,2548134.753037349510000000,-52.083772599570030831,140,USDT,0,0,0
63,0x72b7829ddf85fed194a56670a84dfdff28ed9ef4,0x72b7...9ef4,2439713.843767410021170272,132.328216534608133963,140,USDT,2833,2833,5666
64,0x364bdc9b988e2c6f7eb64443383504589fbff50a,0x364b...f50a,2419118.374003767692472690,52.095813242347933807,140,USDT,2797,2798,5595
65,0x38b1c8548e90fc83b5816bacea201c5d54349db7,0x38b1...9db7,2324086.787761878250000000,-281.389389594110205335,140,USDT,16,17,33
